rings_contact.py grid, N=200 shells, t_end=20, dt=5e-5, eps=0.02, 3 seeds. eta_c=1e9 is the ballistic null.
f sigma eta_c | unbound mean (min-max) | max|dE/E| | edges per seed (mass fractions)
0.3 0.0 0.03 | 0.00 (0.00-0.00) | 0.0000 | [0.05, 0.95]; [0.05]; [0.05]
0.3 0.0 0.1 | 0.00 (0.00-0.00) | 0.0000 | [0.05, 0.95]; [0.05]; [0.05]
0.3 0.0 0.3 | 0.00 (0.00-0.00) | 0.0000 | [0.05, 0.95]; [0.05]; [0.05]
0.3 0.0 1e+09 | 0.36 (0.36-0.36) | 0.0026 | [0.05, 0.45, 0.5, 0.55, 0.6, 0.65]; [0.05, 0.45, 0.5, 0.55, 0.6, 0.65]; [0.05, 0.45, 0.5, 0.55, 0.6, 0.65]
0.3 0.3 0.03 | 0.00 (0.00-0.00) | 0.0002 | [0.05, 0.95]; [0.05, 0.95]; [0.05, 0.95]
0.3 0.3 0.1 | 0.00 (0.00-0.00) | 0.0002 | [0.05, 0.95]; [0.05, 0.95]; [0.05, 0.95]
0.3 0.3 0.3 | 0.00 (0.00-0.00) | 0.0002 | [0.05, 0.95]; [0.05, 0.95]; [0.05, 0.95]
0.3 0.3 1e+09 | 0.35 (0.30-0.41) | 0.0020 | [0.05, 0.1, 0.25, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6]; [0.05, 0.1, 0.25, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75]; [0.1, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.7]
0.3 0.5 0.03 | 0.00 (0.00-0.00) | 0.0001 | [0.05, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.95]
0.3 0.5 0.1 | 0.00 (0.00-0.00) | 0.0001 | [0.05, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.95]
0.3 0.5 0.3 | 0.00 (0.00-0.00) | 0.0001 | [0.05, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.95]
0.3 0.5 1e+09 | 0.27 (0.24-0.29) | 0.0015 | [0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.8]; [0.05, 0.3, 0.35, 0.4, 0.5, 0.55, 0.6, 0.9]; [0.2, 0.25, 0.3, 0.4, 0.45, 0.5, 0.6]
0.3 1.0 0.03 | 0.01 (0.00-0.01) | 0.0007 | [0.05, 0.8, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.9, 0.95]
0.3 1.0 0.1 | 0.01 (0.00-0.01) | 0.0007 | [0.05, 0.8, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.9, 0.95]
0.3 1.0 0.3 | 0.01 (0.00-0.01) | 0.0007 | [0.05, 0.8, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.9, 0.95]
0.3 1.0 1e+09 | 0.15 (0.12-0.18) | 0.0006 | [0.1, 0.35, 0.4, 0.55, 0.65, 0.9, 0.95]; [0.25, 0.35, 0.4, 0.45, 0.85]; [0.2, 0.25, 0.4, 0.75, 0.9, 0.95]
0.4 0.0 0.03 | 0.00 (0.00-0.00) | 0.0000 | [0.05, 0.95]; [0.05, 0.95]; [0.05, 0.95]
0.4 0.0 0.1 | 0.00 (0.00-0.00) | 0.0000 | [0.05, 0.95]; [0.05, 0.95]; [0.05, 0.95]
0.4 0.0 0.3 | 0.00 (0.00-0.00) | 0.0000 | [0.05, 0.95]; [0.05, 0.95]; [0.05, 0.95]
0.4 0.0 1e+09 | 0.35 (0.35-0.35) | 0.0028 | [0.25, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.95]; [0.25, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.95]; [0.25, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.95]
0.4 0.3 0.03 | 0.00 (0.00-0.01) | 0.0014 | [0.05, 0.95]; [0.05, 0.8, 0.95]; [0.05, 0.85, 0.95]
0.4 0.3 0.1 | 0.00 (0.00-0.01) | 0.0014 | [0.05, 0.95]; [0.05, 0.8, 0.95]; [0.05, 0.85, 0.95]
0.4 0.3 0.3 | 0.00 (0.00-0.01) | 0.0014 | [0.05, 0.95]; [0.05, 0.8, 0.95]; [0.05, 0.85, 0.95]
0.4 0.3 1e+09 | 0.33 (0.29-0.35) | 0.0018 | [0.05, 0.35, 0.4, 0.45, 0.5, 0.55, 0.65, 0.95]; [0.4, 0.45, 0.5, 0.55, 0.6, 0.7, 0.75, 0.8, 0.9]; [0.25, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.7, 0.8]
0.4 0.5 0.03 | 0.01 (0.00-0.03) | 0.0002 | [0.05, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.95]
0.4 0.5 0.1 | 0.01 (0.00-0.03) | 0.0002 | [0.05, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.95]
0.4 0.5 0.3 | 0.01 (0.00-0.03) | 0.0002 | [0.05, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.95]
0.4 0.5 1e+09 | 0.16 (0.13-0.19) | 0.0011 | [0.05, 0.15, 0.2, 0.25, 0.4, 0.45, 0.55, 0.65, 0.9, 0.95]; [0.1, 0.2, 0.35, 0.45, 0.55, 0.7, 0.9, 0.95]; [0.05, 0.25, 0.35, 0.4, 0.5, 0.6, 0.95]
0.4 1.0 0.03 | 0.07 (0.04-0.10) | 0.0009 | [0.05, 0.95]; [0.05, 0.95]; [0.05, 0.8, 0.9, 0.95]
0.4 1.0 0.1 | 0.07 (0.04-0.10) | 0.0009 | [0.05, 0.95]; [0.05, 0.95]; [0.05, 0.8, 0.9, 0.95]
0.4 1.0 0.3 | 0.07 (0.04-0.10) | 0.0009 | [0.05, 0.95]; [0.05, 0.95]; [0.05, 0.8, 0.9, 0.95]
0.4 1.0 1e+09 | 0.16 (0.15-0.17) | 0.0003 | [0.1, 0.2, 0.3, 0.65, 0.7, 0.9, 0.95]; [0.05, 0.15, 0.25, 0.4, 0.45, 0.55, 0.85, 0.95]; [0.2, 0.4, 0.85, 0.9, 0.95]
0.5 0.0 0.03 | 0.00 (0.00-0.01) | 0.0002 | [0.05, 0.95]; [0.05, 0.95]; [0.05, 0.95]
0.5 0.0 0.1 | 0.00 (0.00-0.01) | 0.0002 | [0.05, 0.95]; [0.05, 0.95]; [0.05, 0.95]
0.5 0.0 0.3 | 0.00 (0.00-0.01) | 0.0002 | [0.05, 0.95]; [0.05, 0.95]; [0.05, 0.95]
0.5 0.0 1e+09 | 0.36 (0.36-0.36) | 0.0012 | [0.05, 0.2, 0.3, 0.4, 0.45, 0.5, 0.55, 0.6, 0.7]; [0.05, 0.2, 0.3, 0.4, 0.45, 0.5, 0.55, 0.6, 0.7]; [0.05, 0.2, 0.3, 0.4, 0.45, 0.5, 0.55, 0.6, 0.7]
0.5 0.3 0.03 | 0.04 (0.04-0.04) | 0.0014 | [0.05, 0.9, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.75, 0.9, 0.95]
0.5 0.3 0.1 | 0.04 (0.04-0.04) | 0.0014 | [0.05, 0.9, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.75, 0.9, 0.95]
0.5 0.3 0.3 | 0.04 (0.04-0.04) | 0.0014 | [0.05, 0.9, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.75, 0.9, 0.95]
0.5 0.3 1e+09 | 0.30 (0.24-0.35) | 0.0018 | [0.2, 0.3, 0.35, 0.4, 0.45, 0.5, 0.8, 0.9]; [0.25, 0.3, 0.35, 0.4, 0.45, 0.55, 0.6, 0.85]; [0.2, 0.25, 0.3, 0.35, 0.4, 0.5, 0.75, 0.85, 0.95]
0.5 0.5 0.03 | 0.05 (0.04-0.07) | 0.0016 | [0.05, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.8, 0.9, 0.95]
0.5 0.5 0.1 | 0.05 (0.04-0.07) | 0.0016 | [0.05, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.8, 0.9, 0.95]
0.5 0.5 0.3 | 0.05 (0.04-0.07) | 0.0016 | [0.05, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.8, 0.9, 0.95]
0.5 0.5 1e+09 | 0.13 (0.12-0.16) | 0.0001 | [0.15, 0.3, 0.35, 0.55, 0.65, 0.75, 0.9, 0.95]; [0.15, 0.3, 0.55, 0.65, 0.85, 0.95]; [0.1, 0.2, 0.25, 0.6, 0.9, 0.95]
0.5 1.0 0.03 | 0.19 (0.14-0.21) | 0.0339 | [0.05, 0.85, 0.9, 0.95]; [0.05, 0.6, 0.8, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]
0.5 1.0 0.1 | 0.19 (0.14-0.21) | 0.0339 | [0.05, 0.85, 0.9, 0.95]; [0.05, 0.6, 0.8, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]
0.5 1.0 0.3 | 0.18 (0.14-0.21) | 0.0339 | [0.05, 0.85, 0.9, 0.95]; [0.05, 0.6, 0.8, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]
0.5 1.0 1e+09 | 0.25 (0.21-0.30) | 0.0011 | [0.1, 0.2, 0.3, 0.5, 0.6, 0.75, 0.85, 0.9, 0.95]; [0.15, 0.3, 0.4, 0.6, 0.75, 0.9, 0.95]; [0.2, 0.35, 0.6, 0.8, 0.95]
0.6 0.0 0.03 | 0.03 (0.03-0.04) | 0.0006 | [0.05, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.95]
0.6 0.0 0.1 | 0.03 (0.03-0.04) | 0.0006 | [0.05, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.95]
0.6 0.0 0.3 | 0.03 (0.03-0.04) | 0.0006 | [0.05, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.95]
0.6 0.0 1e+09 | 0.30 (0.30-0.30) | 0.0081 | [0.05, 0.35, 0.4, 0.45, 0.5, 0.55, 0.75]; [0.05, 0.35, 0.4, 0.45, 0.5, 0.55, 0.75]; [0.05, 0.35, 0.4, 0.45, 0.5, 0.55, 0.75]
0.6 0.3 0.03 | 0.11 (0.10-0.12) | 0.0027 | [0.05, 0.9, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]
0.6 0.3 0.1 | 0.11 (0.10-0.12) | 0.0027 | [0.05, 0.9, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]
0.6 0.3 0.3 | 0.11 (0.10-0.12) | 0.0027 | [0.05, 0.9, 0.95]; [0.05, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]
0.6 0.3 1e+09 | 0.20 (0.15-0.26) | 0.0005 | [0.15, 0.2, 0.25, 0.3, 0.4, 0.5, 0.65]; [0.1, 0.15, 0.2, 0.3, 0.4, 0.9, 0.95]; [0.15, 0.2, 0.25, 0.35, 0.4, 0.95]
0.6 0.5 0.03 | 0.15 (0.12-0.17) | 0.0164 | [0.05, 0.85, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.7, 0.8, 0.9, 0.95]
0.6 0.5 0.1 | 0.15 (0.12-0.17) | 0.0164 | [0.05, 0.85, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.7, 0.8, 0.9, 0.95]
0.6 0.5 0.3 | 0.15 (0.12-0.17) | 0.0164 | [0.05, 0.85, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.7, 0.8, 0.9, 0.95]
0.6 0.5 1e+09 | 0.17 (0.14-0.19) | 0.0001 | [0.15, 0.2, 0.35, 0.9, 0.95]; [0.15, 0.2, 0.3, 0.4, 0.75, 0.95]; [0.05, 0.15, 0.25, 0.8, 0.95]
0.6 1.0 0.03 | 0.29 (0.25-0.33) | 0.0040 | [0.05, 0.8, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.4, 0.75, 0.9, 0.95]
0.6 1.0 0.1 | 0.29 (0.25-0.33) | 0.0040 | [0.05, 0.8, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.4, 0.75, 0.9, 0.95]
0.6 1.0 0.3 | 0.29 (0.25-0.33) | 0.0040 | [0.05, 0.8, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.4, 0.75, 0.9, 0.95]
0.6 1.0 1e+09 | 0.40 (0.35-0.45) | 0.0001 | [0.05, 0.2, 0.25, 0.35, 0.4, 0.65, 0.95]; [0.1, 0.2, 0.25, 0.3, 0.35, 0.45, 0.55, 0.95]; [0.1, 0.2, 0.4, 0.45, 0.5, 0.8, 0.95]
0.7 0.0 0.03 | 0.14 (0.12-0.15) | 0.0468 | [0.05, 0.8, 0.9, 0.95]; [0.05, 0.7, 0.85, 0.9, 0.95]; [0.05, 0.8, 0.9, 0.95]
0.7 0.0 0.1 | 0.14 (0.12-0.15) | 0.0468 | [0.05, 0.8, 0.9, 0.95]; [0.05, 0.7, 0.85, 0.9, 0.95]; [0.05, 0.8, 0.9, 0.95]
0.7 0.0 0.3 | 0.14 (0.12-0.15) | 0.0468 | [0.05, 0.8, 0.9, 0.95]; [0.05, 0.7, 0.85, 0.9, 0.95]; [0.05, 0.8, 0.9, 0.95]
0.7 0.0 1e+09 | 0.14 (0.14-0.14) | 0.0000 | [0.05, 0.6, 0.65]; [0.05, 0.6, 0.65]; [0.05, 0.6, 0.65]
0.7 0.3 0.03 | 0.22 (0.20-0.24) | 0.0369 | [0.05, 0.85, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.6, 0.75, 0.85, 0.9, 0.95]
0.7 0.3 0.1 | 0.22 (0.20-0.24) | 0.0369 | [0.05, 0.85, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.6, 0.75, 0.85, 0.9, 0.95]
0.7 0.3 0.3 | 0.22 (0.20-0.24) | 0.0369 | [0.05, 0.85, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.6, 0.75, 0.85, 0.9, 0.95]
0.7 0.3 1e+09 | 0.29 (0.22-0.36) | 0.0000 | [0.3, 0.85, 0.95]; [0.6, 0.7, 0.9, 0.95]; [0.95]
0.7 0.5 0.03 | 0.27 (0.26-0.28) | 0.0089 | [0.05, 0.8, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.9, 0.95]
0.7 0.5 0.1 | 0.27 (0.26-0.28) | 0.0089 | [0.05, 0.8, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.9, 0.95]
0.7 0.5 0.3 | 0.27 (0.26-0.28) | 0.0089 | [0.05, 0.8, 0.9, 0.95]; [0.05, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.9, 0.95]
0.7 0.5 1e+09 | 0.40 (0.34-0.44) | 0.0000 | [0.05, 0.1, 0.25, 0.45, 0.9, 0.95]; [0.05, 0.15, 0.2, 0.3, 0.35, 0.95]; [0.05, 0.15, 0.3, 0.8, 0.95]
0.7 1.0 0.03 | 0.41 (0.35-0.43) | 0.0057 | [0.05, 0.85, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.7, 0.85, 0.9, 0.95]
0.7 1.0 0.1 | 0.40 (0.35-0.43) | 0.0057 | [0.05, 0.85, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.7, 0.85, 0.9, 0.95]
0.7 1.0 0.3 | 0.41 (0.35-0.43) | 0.0057 | [0.05, 0.85, 0.9, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.7, 0.85, 0.9, 0.95]
0.7 1.0 1e+09 | 0.51 (0.46-0.56) | 0.0000 | [0.05, 0.15, 0.25, 0.4, 0.85, 0.95]; [0.05, 0.1, 0.15, 0.25, 0.35, 0.45, 0.95]; [0.05, 0.1, 0.15, 0.3, 0.35, 0.4, 0.5, 0.8, 0.95]
0.8 0.0 0.03 | 0.29 (0.28-0.30) | 0.0011 | [0.05, 0.85, 0.95]; [0.05, 0.85, 0.9, 0.95]; [0.05, 0.45, 0.9, 0.95]
