spec        A     dc    f_surv    tail>6e22  f_PBH=tail/f  IMBH/f    BBN 1-1e4 s (hadronic) | late BBN 1e4-1e6 s | mu 1e6-1e9 s | y 1e9-1e13 s | post-recomb   (limit)
kolmogorov 0.10  0.30   9.99e-01  1.09e-03    1.09e-03  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 | 1.09e+297 KILL
kolmogorov 0.10  0.45   1.00e+00  1.41e-06    1.41e-06  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 | 1.41e+294 KILL
kolmogorov 0.10  0.70   1.00e+00  2.53e-13    2.53e-13  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 | 2.53e+287 KILL
kolmogorov 0.10  1.00   1.00e+00  8.57e-25    8.57e-25  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 | 8.57e+275 KILL
kolmogorov 0.30  0.30   5.75e-01  4.24e-01    7.37e-01  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 | 4.24e+299 KILL
kolmogorov 0.30  0.45   8.65e-01  1.35e-01    1.56e-01  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 | 1.35e+299 KILL
kolmogorov 0.30  0.70   9.88e-01  1.16e-02    1.17e-02  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 | 1.16e+298 KILL
kolmogorov 0.30  1.00   1.00e+00  2.93e-04    2.93e-04  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 | 2.93e+296 KILL
kolmogorov 1.00  0.30   2.62e-02  9.70e-01    3.69e+01  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 | 9.70e+299 KILL
kolmogorov 1.00  0.45   9.63e-02  9.00e-01    9.35e+00  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 | 9.00e+299 KILL
kolmogorov 1.00  0.70   3.01e-01  6.97e-01    2.31e+00  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 | 6.97e+299 KILL
kolmogorov 1.00  1.00   5.75e-01  4.24e-01    7.37e-01  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 | 4.24e+299 KILL
flat       0.10  0.30   9.62e-01  3.84e-02    4.00e-02  7.75e-04    1.17e+00 |  4.52e-01 |  7.20e-01 |  9.98e-01 |  1.78e+03 KILL
flat       0.10  0.45   1.00e+00  4.94e-05    4.94e-05  4.57e-08    4.22e+00 |  1.21e+00 |  2.16e+00 |  3.34e+00 |  5.56e+06 KILL
flat       0.10  0.70   1.00e+00  8.26e-12    8.26e-12  1.62e-18    4.77e+01 |  5.46e+00 |  1.40e+01 |  3.02e+01 |  3.86e+15 KILL
flat       0.10  1.00   1.00e+00  2.49e-23    2.49e-23  1.08e-36    2.55e+03 |  4.22e+01 |  2.34e+02 |  1.03e+03 |  1.74e+31 KILL
flat       0.30  0.30   2.37e-09  8.46e-03    3.57e+06  8.07e+04    3.02e-02 |  1.12e-02 |  1.31e-02 |  1.20e-02 |  1.69e-02 KILL
flat       0.30  0.45   4.91e-03  5.79e-01    1.18e+02  1.68e+01    2.47e-01 |  1.09e-01 |  1.59e-01 |  2.00e-01 |  1.90e+00 KILL
flat       0.30  0.70   6.55e-01  3.40e-01    5.19e-01  2.63e-02    6.41e-01 |  2.70e-01 |  4.16e-01 |  5.60e-01 |  1.11e+02 KILL
flat       0.30  1.00   9.90e-01  1.04e-02    1.05e-02  1.19e-04    1.56e+00 |  5.72e-01 |  9.29e-01 |  1.31e+00 |  8.22e+03 KILL
flat       0.50  0.30   1.92e-22  7.83e-09    4.08e+13  6.30e+09    5.65e-06 |  9.12e-07 |  5.61e-07 |  2.06e-07 |  5.30e-08 KILL
flat       0.50  0.45   9.77e-12  9.64e-04    9.87e+07  8.97e+05    9.47e-03 |  3.10e-03 |  3.24e-03 |  2.51e-03 |  2.37e-03 KILL
flat       0.50  0.70   9.11e-04  4.20e-01    4.61e+02  6.08e+01    2.03e-01 |  8.93e-02 |  1.28e-01 |  1.56e-01 |  1.00e+00 KILL
flat       0.50  1.00   2.93e-01  6.70e-01    2.29e+00  1.93e-01    4.63e-01 |  2.01e-01 |  3.05e-01 |  4.05e-01 |  2.66e+01 KILL
flat       0.70  0.30   2.51e-31  1.14e-13    4.55e+17  2.83e+12    2.25e-09 |  1.93e-10 |  7.73e-11 |  1.57e-11 |  1.75e-12 KILL
flat       0.70  0.45   1.51e-20  7.40e-08    4.89e+12  1.53e+09    2.57e-05 |  4.74e-06 |  3.20e-06 |  1.34e-06 |  4.20e-07 KILL
flat       0.70  0.70   2.37e-09  8.46e-03    3.57e+06  8.07e+04    3.02e-02 |  1.12e-02 |  1.31e-02 |  1.20e-02 |  1.69e-02 KILL
flat       0.70  1.00   1.54e-03  4.68e-01    3.04e+02  4.14e+01    2.15e-01 |  9.52e-02 |  1.37e-01 |  1.69e-01 |  1.21e+00 KILL
flat       1.00  0.30   2.78e-39  2.95e-18    1.06e+21  4.17e+14    1.02e-12 |  4.87e-14 |  1.35e-14 |  1.65e-15 |  9.27e-17 KILL
flat       1.00  0.45   4.19e-30  5.55e-13    1.33e+17  1.27e+12    6.99e-09 |  6.55e-10 |  2.78e-10 |  6.14e-11 |  7.61e-12 KILL
flat       1.00  0.70   3.23e-18  1.07e-06    3.33e+11  2.51e+08    1.50e-04 |  3.24e-05 |  2.45e-05 |  1.21e-05 |  4.89e-06 KILL
flat       1.00  1.00   2.37e-09  8.46e-03    3.57e+06  8.07e+04    3.02e-02 |  1.12e-02 |  1.31e-02 |  1.20e-02 |  1.69e-02 KILL
shot       0.00  0.30   1.97e-01  0.00e+00    0.00e+00  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 KILL
shot       0.00  0.45   3.52e-01  0.00e+00    0.00e+00  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 KILL
shot       0.00  0.70   5.85e-01  0.00e+00    0.00e+00  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 KILL
shot       0.00  1.00   7.81e-01  0.00e+00    0.00e+00  0.00e+00    0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 |  0.00e+00 KILL
shot       0.10  0.30   1.86e-01  7.42e-03    4.00e-02  7.75e-04    5.62e-07 |  4.71e-07 |  1.09e-06 |  2.60e-06 |  9.26e-03 KILL
shot       0.10  0.45   3.49e-01  1.72e-05    4.94e-05  4.57e-08    1.27e-13 |  1.91e-13 |  7.54e-13 |  3.68e-12 |  2.66e-05 KILL
shot       0.10  0.70   5.83e-01  4.81e-12    8.26e-12  1.62e-18    9.75e-31 |  5.43e-30 |  8.97e-29 |  2.90e-27 |  1.16e-11 KILL
shot       0.10  1.00   7.79e-01  1.94e-23    2.49e-23  1.08e-36    4.85e-61 |  2.05e-59 |  4.89e-57 |  5.06e-54 |  8.80e-23 KILL
shot       0.30  0.30   4.08e-10  1.46e-03    3.57e+06  8.07e+04    4.88e-03 |  1.86e-03 |  2.19e-03 |  2.02e-03 |  2.88e-03 KILL
shot       0.30  0.45   1.56e-03  1.85e-01    1.18e+02  1.68e+01    1.91e-02 |  1.04e-02 |  1.66e-02 |  2.38e-02 |  2.64e-01 KILL
shot       0.30  0.70   3.70e-01  1.92e-01    5.19e-01  2.63e-02    5.55e-04 |  3.83e-04 |  7.50e-04 |  1.43e-03 |  4.43e-01 KILL
shot       0.30  1.00   7.61e-01  8.02e-03    1.05e-02  1.19e-04    3.68e-07 |  3.46e-07 |  8.83e-07 |  2.41e-06 |  3.49e-02 KILL
shot       0.50  0.30   4.94e-23  2.01e-09    4.08e+13  6.30e+09    1.46e-06 |  2.36e-07 |  1.45e-07 |  5.33e-08 |  1.37e-08 KILL
shot       0.50  0.45   3.01e-12  2.97e-04    9.87e+07  8.97e+05    2.89e-03 |  9.51e-04 |  9.95e-04 |  7.75e-04 |  7.33e-04 KILL
shot       0.50  0.70   4.78e-04  2.20e-01    4.61e+02  6.08e+01    4.96e-02 |  2.50e-02 |  3.80e-02 |  5.06e-02 |  3.56e-01 KILL
shot       0.50  1.00   2.19e-01  5.01e-01    2.29e+00  1.93e-01    1.07e-02 |  6.70e-03 |  1.21e-02 |  2.08e-02 |  1.88e+00 KILL
shot       0.70  0.30   1.00e-31  4.57e-14    4.55e+17  2.83e+12    9.03e-10 |  7.74e-11 |  3.10e-11 |  6.32e-12 |  7.03e-13 KILL
shot       0.70  0.45   5.70e-21  2.79e-08    4.89e+12  1.53e+09    9.74e-06 |  1.79e-06 |  1.21e-06 |  5.07e-07 |  1.59e-07 KILL
shot       0.70  0.70   1.18e-09  4.21e-03    3.57e+06  8.07e+04    1.44e-02 |  5.45e-03 |  6.40e-03 |  5.88e-03 |  8.34e-03 KILL
shot       0.70  1.00   1.10e-03  3.32e-01    3.04e+02  4.14e+01    8.32e-02 |  4.13e-02 |  6.24e-02 |  8.25e-02 |  6.36e-01 KILL
shot       1.00  0.30   1.66e-39  1.76e-18    1.06e+21  4.17e+14    6.12e-13 |  2.91e-14 |  8.08e-15 |  9.84e-16 |  5.54e-17 KILL
shot       1.00  0.45   2.21e-30  2.93e-13    1.33e+17  1.27e+12    3.70e-09 |  3.47e-10 |  1.47e-10 |  3.25e-11 |  4.03e-12 KILL
shot       1.00  0.70   1.74e-18  5.80e-07    3.33e+11  2.51e+08    8.13e-05 |  1.75e-05 |  1.33e-05 |  6.54e-06 |  2.65e-06 KILL
shot       1.00  1.00   1.58e-09  5.65e-03    3.57e+06  8.07e+04    1.96e-02 |  7.37e-03 |  8.64e-03 |  7.92e-03 |  1.12e-02 KILL
limits per era (delta rho/rho): [('BBN 1-1e4 s (hadronic)', 1e-06), ('late BBN 1e4-1e6 s', 0.0001), ('mu 1e6-1e9 s', 0.00012), ('y 1e9-1e13 s', 6e-05), ('post-recomb', 1e-07)]  rough; BBN hadronic from Kawasaki et al. 2018, mu/y from FIRAS
