spectrum=kolmogorov  sigma(M)=A (M/M_L)^0.222   M_L=1.01e+60 m_P
A       dc    f_unfrag         <1e14 kg (pre-BBN)    1e14-3e20 (BBN-recomb)  3e20-6e22 (recomb-today)     >6e22 (permanent PBH)           >2e30 (>1 Msun)          2e32-2e35 (IMBH)
0.01    0.30   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                 3.39e-199                 3.39e-199                  0.00e+00
0.01    0.45   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  0.00e+00
0.01    0.70   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  0.00e+00
0.01    1.00   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  0.00e+00
0.03    0.30   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  9.63e-25                  9.63e-25                  0.00e+00
0.03    0.45   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  3.07e-52                  3.07e-52                  0.00e+00
0.03    0.70   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                 7.14e-122                 7.14e-122                  0.00e+00
0.03    1.00   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                 4.39e-245                 4.39e-245                  0.00e+00
0.10    0.30   9.99e-01                  0.00e+00                  0.00e+00                  0.00e+00                  1.11e-03                  1.11e-03                  0.00e+00
0.10    0.45   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  1.45e-06                  1.45e-06                  0.00e+00
0.10    0.70   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  2.69e-13                  2.69e-13                  0.00e+00
0.10    1.00   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  9.63e-25                  9.63e-25                  0.00e+00
0.20    0.30   8.64e-01                  0.00e+00                  0.00e+00                  0.00e+00                  1.36e-01                  1.36e-01                  0.00e+00
0.20    0.45   9.85e-01                  0.00e+00                  0.00e+00                  0.00e+00                  1.53e-02                  1.53e-02                  0.00e+00
0.20    0.70   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  1.49e-04                  1.49e-04                  0.00e+00
0.20    1.00   1.00e+00                  0.00e+00                  0.00e+00                  0.00e+00                  1.03e-07                  1.03e-07                  0.00e+00
0.30    0.30   5.74e-01                  0.00e+00                  0.00e+00                  0.00e+00                  4.24e-01                  4.24e-01                  0.00e+00
0.30    0.45   8.64e-01                  0.00e+00                  0.00e+00                  0.00e+00                  1.36e-01                  1.36e-01                  0.00e+00
0.30    0.70   9.88e-01                  0.00e+00                  0.00e+00                  0.00e+00                  1.17e-02                  1.17e-02                  0.00e+00
